casting director	70 50
warranty date and the truth is that	79 70 43 70 70 70 80
then the night before	76 76 68 71
Sport And Prove Your Love Me This Way	19 19 19 80 80 80 50 79
and two hundred thousand dollars	0 0 0 0 0
could look like that you ' re trying too	76 79 79 80 80 80 80 79 79
to work on scene work rather than	40 40 40 43 43 41 41
then I gained 45 pounds just and it was	49 19 38 19 19 19 19 19 19
keep your file sizes small remember that	0 0 0 0 0 49 49
energy in alignment with my values and	1 1 1 1 1 1 1
from memorization because you gotta know	33 32 32 32 32 32
through their commercials so more MORE they ' re hiring actors who looked like	41 40 41 41 49 49 49 49 49 49 41 41 40 40
like that	50 40
there I think it was the first ad who	67 67 67 67 67 67 67 68 68
certain way of asking questions it ' s not	40 40 40 40 40 40 40 40 22
that helps you crop your headshots to	79 79 79 79 79 79 79
as their fee now if you ' re doing it	40 31 31 31 31 28 28 28 31 31
other side of the camera	41 41 40 41 41
Really curve into your heart the serenity prayer	76 79 79 79 79 79 79 79
every single actor that wants to	76 76 49 79 79 79
after working your second union job	68 67 67 77 68 68
it really does not matter we are faced	79 79 79 70 79 79 79 79
on how you can start side hustles in your spare time	0 0 0 0 0 0 0 0 0 19 11
instagram reels because that ' s what ' s	79 79 79 79 79 79 79 79 79
money we must take time to dress for our	0 51 51 20 21 25 50 51 48
that role and then it was like you know	46 46 46 46 46 46 46 46 46
i head straight to the sales section if	40 61 61 61 70 70 70 70
and then when the production schedule	80 80 80 80 80 80
now don ' t worry if your demo reel is	52 49 49 49 49 49 49 49 71 71
And because she ' s just launched season two of her podcasts	79 79 79 79 79 79 79 79 76 76 79 79
on it anyways with selling a house of	43 52 43 79 79 79 80 79
to enjoy more of the things that we ' re doing	41 41 50 50 50 50 77 79 79 79 79
fit for instance I know I look nothing like Brad Pitt	41 41 49 49 41 41 41 41 41 41 41
from me and so if you can build up that	79 71 71 71 76 40 40 40 40 49
if janet starts throwing around reckless	79 79 79 79 79 79
valuable then people will buy it and	70 49 49 73 73 76 80
are used in your location if you ' re in a	71 71 71 71 71 79 49 49 49 49 49
get clients and this is really the most	79 79 79 79 79 79 79 79
It ' s a very much like an sort of slow and steady	41 41 41 13 41 41 32 32 41 32 32 32 32
when it comes to auditions props are no	70 79 79 79 79 49 49 49
and then my eye color	0 0 0 0 0
finding those types of people in your	71 71 71 71 71 71 71
see you on set one day	71 71 71 0 0 0
down what I still have booked it who	77 67 67 76 76 67 67 76
not going to be spent you know learning	79 79 79 79 79 79 79 79
today in fact	71 71 67
the casting director	71 71 67
physical goods are just not as fun to	0 0 1 0 0 1 -59 -29
pay of the project the union status all	71 70 70 49 79 71 68 40
thirteen and for me five or ten dollars	67 70 52 52 52 52 26 26
you ' ll see that it could take	49 49 49 40 43 43 62 62
opportunities and auditions that you	70 71 68 79 71
So for all 52 of them check out Email	67 67 67 70 22 49 49 49 76
in order to like tease out some things around	52 52 49 0 0 0 0 0 0
is in terms of things like YouTube	31 31 37 50 41 49 40
pre - approval now i think about this	40 40 40 52 50 41 41 41
But then for the last few months	70 79 79 79 70 70 67
flow of business which is typically	40 31 67 40 40 40
the last lesson I learned that day came	49 41 41 41 41 41 41 41
find auditions and learn everything else	80 80 80 79 79 71
someone is making over 50 thousand	31 31 31 31 40 31
you wanted to write now you could start	49 49 49 49 49 2 11 11
tell them that you ' re going to work hard	67 67 67 67 67 67 67 67 67 67
and you can elect	71 71 71 71
spending some time here with me today	41 70 70 70 70 70 70
photography business or as another	79 79 79 79 79
big netflix show or a big marvel movie	79 79 79 79 79 79 79 79
and how willing people are to connect	49 49 49 49 49 49 49
generating journey on the internet	0 0 0 49 79
and let ' s say for the walking dead you	0 0 0 0 0 0 0 0 0 0
now think about this for a second when you ' re in a conversation with someone	71 79 79 71 71 71 71 71 71 71 71 71 71 71 71 71
" Oh crap the stock market ' s going down a bit	79 79 79 70 68 67 67 67 67 70 70 67
there ' s also thousands and thousands of more classes	70 70 70 52 52 52 79 79 79 79
if i want to this happens in	50 50 50 40 70 71 68
what this does is it allows you to write	40 40 40 37 28 31 31 31 31
but the iPad video has 124 , 000 hours	60 63 62 63 63 0 0 0 0
But let ' s say you ' ve hit your thousand subscribers	58 58 58 58 58 58 58 58 67 58 59 63
time is money on a movie or a television	77 77 77 80 80 80 80 80 80
Although growing a podcast is a lot harder	52 52 52 52 52 52 52 52
life as a giant wheel and if we have a	41 42 42 51 51 51 51 51 51 51
told you about that client	52 79 79 79 79
still cheaper than the warranty cost the	70 70 70 70 70 70 43
doing photography wise but	71 71 71 71
the amount of information you learn	31 31 31 31 53 50
because i am currently out of town	79 79 79 79 79 79 79
your internet and if it ' s not something	70 70 70 70 70 70 70 70 40
food stay hydrated and	40 41 41 40
kind of an exciting week of things	71 71 71 71 71 79 49
check out weeble get your free stocks	41 41 71 71 71 41 26
have your email address but you really	0 0 0 0 0 0 0
really interesting stuff in here about	0 0 0 71 70 67
uniform is what booked her the role but	76 76 79 79 79 79 79 79
in a scene	79 79 79
you do eventually submit to an	67 67 70 70 70 70
who is pursuing an on - camera acting	53 53 53 80 44 44 44 41
12 steps every actor should take to	40 40 40 40 40 40 40
the state that i live in	52 49 79 79 79 49
interviewed my friend Tyler Buckingham	44 71 71 71 71
the productions were going on	70 71 71 71 68
I ' ve seen much about it	49 49 49 49 49 49 49
how I make the money that I used to invest	80 80 80 80 80 71 71 79 76 79
distinctly remember there was an actress	76 79 76 79 79 76
live and whether or not your location	50 70 40 49 49 49 67
single time i from download free she	71 68 68 10 10 0 0
all these things already	79 79 79 79
right now your credit score sort of	41 41 40 44 44 40 40
wife and they ' re repainting their	67 67 67 67 67 70 70
because I was like I can ' t believe	32 32 32 32 32 32 32 32 32
and we just banged out these this work over the space	0 0 51 51 48 48 51 51 51 0 51
companies can charge as much as 30	79 70 40 70 79 79 79
20 % if you ' re waiting on a home purchase	70 70 79 79 79 79 79 79 79 79 71
mail out your application to the	40 40 31 31 40 40
if you want to pursue	68 68 68 60 60
And the other nice thing about Skillshare is that it ' s like	50 50 50 49 49 49 49 49 49 49 49 49 49
because they were born with it	41 41 49 49 52 52
about yourself question let ' s talk about	49 71 71 68 68 68 71 71
whether we ' re buying this thing because	73 73 73 73 73 73 76 81
It doesn ' t matter how young you are	49 43 43 43 34 34 61 62 40
so again we ' re going to bold this	0 0 0 0 0 0 0 0 0
start with drop shipping the basic idea	53 53 53 26 53 23 19
so that ' s my story about how i got my	49 49 49 49 41 71 71 71 71 71 71
very easy	40 40
like Amazon Associates	68 41 41
can ' t see yourself doing anything else	40 40 40 40 40 43 79 79
statistics aren ' t too clear on like the	76 70 70 70 79 79 79 79 79
before 60 , 000 subscribers	49 49 49 49 49
with you in some way shape or form	0 0 0 0 0 0 0 0
look for the produce that is on sale	70 70 40 76 79 70 70 70
now but I ' ll record all of the opposite	67 67 67 67 67 40 40 40 40 41
the ways to join are	67 68 41 41 71
looking at one week I got bad news for	41 38 38 38 47 14 10 10 10
but genuinely Skillshare is a great place to teach stuff	49 41 41 46 50 40 10 40 37 46
will give you the tools to succeed and	49 49 49 49 49 49 49 49
And caveat number three is that	70 70 70 70 71 71
is that you should not invest in individual stocks	31 58 58 61 61 61 52 52 52
investment like i got x number of	79 79 80 51 54 54 45
it ' s probably gonna cost like a maybe	79 79 79 79 79 79 79 79 76
the actor that ' s auditioning stands in front of the camera	49 52 71 71 71 71 71 49 71 71 71 71
rates are super low right now when	40 40 40 67 67 67 67
whereby you now only need it to be eight minutes long	67 67 68 68 67 67 67 67 67 67 67
different and then they wanted the	79 79 79 79 79 79
they start investing and letting their	41 49 40 40 40 49
money on	70 79
study for your exams and again those	0 1 1 0 0 11 0
that actors make money within this	70 76 70 70 70 70
if you were in a short film you would	0 0 0 0 0 0 0 0 0
you ' re in a high cost of living area	31 31 31 31 31 31 31 31 31 31
because it ' s 10 % of then the 110	52 80 80 80 80 80 80 80 80 80
and you are a sag - aftra member now	64 64 64 64 71 71 71 49 49
them now the goal here isn ' t to follow	76 77 80 80 80 76 76 76 76 79
advantage to not dressing in full	79 77 79 79 79 79
is the industry standard size for a	79 79 79 79 79 79 79
helping out with a casting session one	41 41 41 71 71 71 71
problems with that one	71 67 40 70
invested in stocks	31 31 31
" There ' s a disconnect between the future	61 61 61 61 61 61 61 61 61
practice practice practice your	41 71 71 71
a script but they told me this is a	68 67 77 50 40 40 40 40 40
this thing open up these and voila so	79 79 0 0 0 0 0 0
point once you ' ve built up 20 % equity in	70 79 79 79 79 43 70 70 70 79 70
all the stuff you can write this off in	31 31 31 40 40 40 40 40 31
pass that as well so the first step is	0 0 0 0 0 70 40 70 70
actually make your mortgage payments if	40 31 31 31 31 31
necessarily as much there ' s less	71 70 61 70 70 70 40
For example let ' s say you buy a house	64 64 64 64 64 64 64 64 1 31
says and interviews that actually he	52 26 26 26 26 26
actors at the moment or just female	79 79 79 79 79 79 79
can also lead to increased	70 43 43 70 70
your acting	71 71
for my youtube video	49 41 41 41
And generally doing well in affiliate marketing	49 49 49 50 41 49 49
just because loads of people around the world	0 0 0 0 0 0 0 0
and the cool thing about YouTube	52 52 49 49 52 49
through real estate express they	79 79 79 0 0
in to the film and television industry	41 41 71 71 71 71 71
our own products if we ' re selling our	40 40 76 67 40 40 40 28 28
the seventh and final memorization	41 41 41 41 71
And the first 200 people to use that link	40 40 31 67 70 67 67 70 68
is not gonna be worth a thousand pounds anymore	52 52 52 52 52 52 52 52 52
be performing that scene twice blocking	68 71 71 71 71 70
I ' m just gonna do it consistently	70 70 70 52 52 52 52 52
because while there are many cities that	40 1 1 28 31 31 31
and not your mouth and speak today gonna	41 41 41 41 41 50 50 50
other things in order for the agent to	40 40 40 40 41 50 53 53
you ' re getting a credit for your resume	77 77 77 71 71 71 71 71 50
And so you make an account on an online broker	49 49 49 49 49 49 49 67 64 67
knowledge and uncertainty and that looks	0 0 0 0 0 0
out the others so	79 79 79 79
and I hope to see you on set one day	40 40 67 67 67 67 67 67 0 0
questions then are you know because as	49 49 49 49 49 49 49
and knew what they were doing the scene	79 79 79 79 79 79 80 79
you think about you	52 79 79 79
99 of the work that was available for	50 80 80 80 80 80 80 50
Like firstly you have no high interest credit card debt	70 70 70 76 79 40 40 49 70 70
I was sort of sitting on the sofa behind there	70 70 70 70 70 70 70 70 70 70
rather than the fact that maybe you got an extra 0	79 79 79 79 79 79 79 79 79 79 79
laughing and joking with each other in	50 50 50 41 68 41 41
if you ' re doing it just more for	79 79 79 79 79 79 79 79 79
and the first 200 people to click that link	1 1 1 1 1 1 1 1 1
with and I ' ll record for instance line	70 67 40 40 40 49 67 40 41
they ' ll charge between five to ten	40 40 40 41 41 32 32 31
you ' re trying to buy a type of meat	52 52 52 52 79 52 52 79 79 70
the art of trying to monetize something will itself	80 80 80 79 76 43 67 67 49
for less than you actually bought it	70 77 49 70 70 70 70
much you can realistically charge	79 79 79 79 79
you are never forced to join the union	71 71 71 71 70 70 70 71
quite a bit	79 79 79
in my career too so those are a couple	79 79 79 79 79 79 79 79 79
top doing things that everyone else is	79 79 79 79 79 79 79
if you like this video please give it a	49 52 53 80 53 41 41 41 41
even if you don ' t book that particular	79 79 79 79 79 79 79 79 79
and you know then I just became more	38 46 37 37 50 46 46 46
check them out i will put a link to them	79 79 52 52 79 79 79 79 52 52
potentially for	67 67
and it was cut out with scissors would	77 77 77 77 76 76 76 79
to watch the video so they go away from it	67 71 71 71 71 71 71 71 67 64
riding on your knowledge and expertise	67 67 70 70 70 67
that our money is still worth 206 pounds in 10 years time	26 17 34 34 44 44 53 80 80 53 53 53
and start looking for auditions on those	71 71 71 71 71 71 71
taken many many write - offs and used many	40 40 40 70 70 70 43 40 40
is demo reel editing now when you first	70 70 68 68 71 71 70 70
whenever your pay is based on commission	79 79 79 79 70 70 70
telling me that you saw me	41 41 41 71 71 71
That also really helps support the channel	67 67 67 67 67 70 70
the correct size paper if we don ' t our	79 52 44 41 41 49 52 52 52 49
without worrying about the quality	40 70 70 50 49
that helped me enjoy the journey a little bit more	79 79 79 79 79 79 79 79 79 79
to build a website and make money off	31 31 31 31 31 40 67 40
if it ' s a restaurant scene like we talked about before take a moment to really	79 79 79 79 68 71 40 40 40 41 41 40 71 41 41 41 41
you can and if you really want to do	79 79 79 79 79 79 79 79 79
